Clase;Lote;Fecha_de_Creacion;UMB;Centro;Desc_Centro;Almacen;Desc_Alm;Material;Desc_Mat;Vol_Util;Vol_Tran;Bloqueado;Jerarquia;Desc_Jer;Grpo_Art;Descrip_Grpo_Art;Clasedevaloracion;M3;STATUS;NRO_ENTREGA;POS_ENTREGA;FCH_CREACION;DEFECTO;ESP_REAL_MM;ANC_REAL_MM
TA_PLYWOOD;1001525024;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802988653;000002;;;;;
TA_PLYWOOD;1001525025;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802988653;000002;;;;;
TA_PLYWOOD;1001525130;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802988653;000002;;;;;
TA_PLYWOOD;1001525132;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802988653;000002;;;;;
TA_PLYWOOD;1001525134;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802988653;000002;;;;;
TA_PLYWOOD;1001525135;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802988653;000002;;;;;
TA_PLYWOOD;1001528310;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802975561;000003;;;;;
TA_PLYWOOD;1001528314;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802975561;000003;;;;;
TA_PLYWOOD;1001528323;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802975564;000003;;;;;
TA_PLYWOOD;1001528325;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802975564;000003;;;;;
TA_PLYWOOD;1001554927;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;0.000;2.893;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802984005;000001;;;;;
TA_PLYWOOD;1001402581;18991230;M3;TD05;Lirquén;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802936284;000002;;;;;
TA_PLYWOOD;1001554995;18991230;M3;TD08;Coronel;0100;Prod.Terminado;000000000000501679;PlyACEXT2440x1220x18S2S;2.893;0.000;0.000;PLYLI0003000000005;ALTOESPESOR;TA0010107;TA0010107;TA01;2.893;A;0802975578;000001;;;;;
