Nave,Eta,Doc.Entrega,Pos.Entrega,VOLUM_ENTREGA,UMV,Material,FPE,FPAN,Status Movimiento de Mcía,Descripcion Material
MSC LORENA,2013-01-25,802914504,1,37.68,M3,878370,2012-12-29,2013-01-23,A,"MOL BASE 84A PP KH 4880x114x14,7/HC288"
MSC LORENA,2013-01-25,802914504,2,3.16,M3,712156,2012-12-29,2013-01-23,A,"MOL CASING 424A PP KH 2135x63x14,5"
MSC LISA,2012-12-29,802914871,1,48.384,M3,720253,2012-12-29,2012-12-26,C,MOL CASING 32A PP KH 5185x64x15
MSC LISA,2012-12-29,802914871,2,1.774,M3,747640,2012-12-29,2012-12-26,C,MOL CASING 239A PP KH 2135x57x15-2U/CO
MSC LISA,2012-12-29,802914876,1,31.27,M3,797555,2012-12-29,2012-12-26,C,"MOL BASE 406A PP KH 4880x56,5x9/HC1260"
MSC LISA,2012-12-29,802914876,2,1.774,M3,747640,2012-12-29,2012-12-26,C,MOL CASING 239A PP KH 2135x57x15-2U/CO
MSC LISA,2012-12-29,802914878,1,32.384,M3,938655,2012-12-29,2012-12-26,C,MOL BASE 409A PP 4880x64x12/540
MSC LISA,2012-12-29,802914878,2,1.774,M3,747640,2012-12-29,2012-12-26,C,MOL CASING 239A PP KH 2135x57x15-2U/CO
MSC ELENI,2012-12-25,802915158,1,36.64,M3,720526,2012-12-29,2012-12-19,C,MOL BASE 217PK72 PP KH 3660x133x14
MSC LISA,2012-12-29,802915161,1,38.93,M3,720526,2012-12-29,2012-12-26,C,MOL BASE 217PK72 PP KH 3660x133x14
MSC LISA,2012-12-29,802915163,1,38.93,M3,720526,2012-12-29,2012-12-26,C,MOL BASE 217PK72 PP KH 3660x133x14
MSC ROMANOS,2013-01-14,802915170,1,49.275,M3,723515,2012-12-29,2013-01-13,A,MOL CASING 239DPK35 PP KH 2135x57x15
MSC ROMANOS,2013-01-14,802915181,1,49.275,M3,723515,2012-12-29,2013-01-09,A,MOL CASING 239DPK35 PP KH 2135x57x15
CSAV SUAPE,2013-01-18,802915187,1,49.275,M3,723515,2012-12-29,2013-01-16,A,MOL CASING 239DPK35 PP KH 2135x57x15
MSC LISA,2012-12-29,802915964,1,9.783,M3,982097,2012-12-29,2012-12-26,C,MOL BASE 30A PP KH 4880x165x15/HC270
MSC LISA,2012-12-29,802915964,2,9.63,M3,784433,2012-12-29,2012-12-26,C,MOL BASE MDF414A PP KH 4880x89x12HC616
MSC LISA,2012-12-29,802915964,3,3.17,M3,784437,2012-12-29,2012-12-26,C,"MOL CROWN 573A PP KH 4880x87,5x15/HC495"
MSC LISA,2012-12-29,802915964,4,21.5,M3,784430,2012-12-29,2012-12-26,C,MOL BASE 90A PP KH 4880x89x15/HC660
MSC LISA,2012-12-29,802916829,1,45.84,M3,747619,2012-12-29,2012-12-26,C,MOL CASING MDF32PK 102PPKH 2590x64x15/HC
MSC ROMANOS,2013-01-14,802916833,1,45.84,M3,747619,2012-12-29,2013-01-13,A,MOL CASING MDF32PK 102PPKH 2590x64x15/HC
MSC ROMANOS,2013-01-14,802916839,1,41.868,M3,720525,2012-12-29,2013-01-13,A,MOL BASE 217A PP KH 4880x133x14
MSC LISA,2012-12-29,802916842,1,38.964,M3,734879,2012-12-29,2012-12-26,C,"MOL BASE MDF221A PP KH 4880x82,5x14"
MSC LISA,2012-12-29,802916842,2,1.774,M3,747640,2012-12-29,2012-12-26,C,MOL CASING 239A PP KH 2135x57x15-2U/CO
MSC ROMANOS,2013-01-14,802916845,1,18.318,M3,781198,2012-12-29,2013-01-13,A,MOL BASE 120A PP KH 4880x133x14/HC336
MSC ROMANOS,2013-01-14,802916845,2,17.532,M3,743424,2012-12-29,2013-01-13,A,MOL BASE 20A PP KH 4880x99x14
MSC ROMANOS,2013-01-14,802916845,3,5.322,M3,747640,2012-12-29,2013-01-13,A,MOL CASING 239A PP KH 2135x57x15-2U/CO
MSC LISA,2012-12-29,802916852,1,38.076,M3,782425,2012-12-29,2012-12-26,C,MOL Base 203A PP KH 4880x86x14/HC540
MSC LISA,2012-12-29,802916852,2,3.548,M3,747640,2012-12-29,2012-12-26,C,MOL CASING 239A PP KH 2135x57x15-2U/CO
MSC ROMANOS,2013-01-14,802916856,1,25.9,M3,782539,2012-12-29,2013-01-13,A,MOL Crown 285A PP KH 4880x108x15/HC468
MSC ROMANOS,2013-01-14,802916856,2,10.878,M3,731649,2012-12-29,2013-01-13,A,MOL CASING 386A 4C KH 4880x86x15-2U
